0,255
0 255
0 7 GRASS_BLOCK
0 8 DIRT
0 9 DIRT
0 10 STONE
0 11 STONE
0 12 STONE
0 13 STONE
0 14 STONE
1 7 GRASS_BLOCK
1 8 DIRT
1 9 DIRT
1 10 STONE
1 11 STONE
1 12 STONE
1 13 STONE
1 14 STONE
2 7 GRASS_BLOCK
2 8 DIRT
2 9 DIRT
2 10 STONE
2 11 STONE
2 12 STONE
2 13 STONE
2 14 STONE
3 7 GRASS_BLOCK
3 8 DIRT
3 9 DIRT
3 10 STONE
3 11 STONE
3 12 STONE
3 13 STONE
3 14 STONE
4 7 GRASS_BLOCK
4 8 DIRT
4 9 DIRT
4 10 STONE
4 11 STONE
4 12 STONE
4 13 STONE
4 14 STONE
5 7 GRASS_BLOCK
5 8 DIRT
5 9 DIRT
5 10 STONE
5 11 STONE
5 12 STONE
5 13 STONE
5 14 STONE
6 7 GRASS_BLOCK
6 8 DIRT
6 9 DIRT
6 10 STONE
6 11 STONE
6 12 STONE
6 13 STONE
6 14 STONE
7 7 GRASS_BLOCK
7 8 DIRT
7 9 DIRT
7 10 STONE
7 11 STONE
7 12 STONE
7 13 STONE
7 14 STONE
8 7 GRASS_BLOCK
8 8 DIRT
8 9 DIRT
8 10 STONE
8 11 STONE
8 12 STONE
8 13 STONE
8 14 STONE
9 6 DIRT
9 7 GRASS_BLOCK
9 8 DIRT
9 9 DIRT
9 10 STONE
9 11 STONE
9 12 STONE
9 13 STONE
9 14 STONE
10 6 GRASS_BLOCK
10 7 DIRT
10 8 DIRT
10 9 DIRT
10 10 STONE
10 11 STONE
10 12 STONE
10 13 STONE
10 14 STONE
11 6 GRASS_BLOCK
11 8 DIRT
11 9 DIRT
11 10 STONE
11 11 STONE
11 12 STONE
11 13 STONE
11 14 STONE
12 6 GRASS_BLOCK
12 7 DIRT
12 8 DIRT
12 9 DIRT
12 10 STONE
12 11 STONE
12 12 STONE
12 13 STONE
12 14 STONE
13 6 GRASS_BLOCK
13 7 DIRT
13 8 DIRT
13 9 DIRT
13 10 STONE
13 11 STONE
13 12 STONE
13 13 STONE
13 14 STONE
14 6 GRASS_BLOCK
14 7 DIRT
14 8 DIRT
14 9 DIRT
14 10 STONE
14 11 STONE
14 12 STONE
14 13 STONE
14 14 STONE
15 7 GRASS_BLOCK
15 8 DIRT
15 9 DIRT
15 10 STONE
15 11 STONE
15 12 STONE
15 13 STONE
15 14 STONE
16 7 GRASS_BLOCK
16 8 DIRT
16 9 DIRT
16 10 STONE
16 11 STONE
16 12 STONE
16 13 STONE
16 14 STONE
17 7 GRASS_BLOCK
17 8 DIRT
17 9 DIRT
17 10 STONE
17 11 STONE
17 12 STONE
17 13 STONE
17 14 STONE
18 7 GRASS_BLOCK
18 8 DIRT
18 9 DIRT
18 10 STONE
18 11 STONE
18 12 STONE
18 13 STONE
18 14 STONE
19 7 GRASS_BLOCK
19 8 DIRT
19 9 DIRT
19 10 STONE
19 11 STONE
19 12 STONE
19 13 STONE
19 14 STONE
20 6 GRASS_BLOCK
20 7 DIRT
20 8 DIRT
20 9 DIRT
20 10 STONE
20 11 STONE
20 12 STONE
20 13 STONE
20 14 STONE
21 6 GRASS_BLOCK
21 7 DIRT
21 8 DIRT
21 9 DIRT
21 10 STONE
21 11 STONE
21 12 STONE
21 13 STONE
21 14 STONE
22 6 GRASS_BLOCK
22 7 DIRT
22 8 DIRT
22 9 DIRT
22 10 STONE
22 11 STONE
22 12 STONE
22 13 STONE
22 14 STONE
23 6 GRASS_BLOCK
23 7 DIRT
23 8 DIRT
23 9 DIRT
23 10 STONE
23 11 STONE
23 12 STONE
23 13 STONE
23 14 STONE
24 6 GRASS_BLOCK
24 7 DIRT
24 8 DIRT
24 9 DIRT
24 10 STONE
24 11 STONE
24 12 STONE
24 13 STONE
24 14 STONE
25 7 GRASS_BLOCK
25 8 DIRT
25 9 DIRT
25 10 STONE
25 11 STONE
25 12 STONE
25 13 STONE
25 14 STONE
26 7 GRASS_BLOCK
26 8 DIRT
26 9 DIRT
26 10 STONE
26 11 STONE
26 12 STONE
26 13 STONE
26 14 STONE
27 7 GRASS_BLOCK
27 8 DIRT
27 9 DIRT
27 10 STONE
27 11 STONE
27 12 STONE
27 13 STONE
27 14 STONE
28 7 GRASS_BLOCK
28 8 DIRT
28 9 DIRT
28 10 STONE
28 11 STONE
28 12 STONE
28 13 STONE
28 14 STONE
29 7 GRASS_BLOCK
29 8 DIRT
29 9 DIRT
29 10 STONE
29 11 STONE
29 12 STONE
29 13 STONE
29 14 STONE
